id,age,job,work_experience(months),education,monthly_income,total_loans_count,active_loans_count,max_delay_days,possessions,count_dependents,marrige,credit_score
129,29,worker,68,master,546083,7,5,55,6,2,married,0.21
130,19,worker,37,none,469029,2,0,5,4,2,married,0.53
131,35,worker,68,bachelor,656107,2,1,21,5,3,married,0.47
132,24,worker,79,bachelor,645814,1,0,17,6,2,single,0.61
133,39,student,7,bachelor,101367,3,2,8,5,2,married,0.47
134,25,worker,22,bachelor,334963,1,0,8,3,1,single,0.51
135,50,student,4,master,110790,1,0,39,4,1,single,0.26
136,27,entrepreneur,90,bachelor,636758,3,1,4,6,0,single,0.62
137,31,entrepreneur,171,bachelor,666305,4,1,5,5,1,married,0.62
138,43,student,22,phd,166236,5,2,6,2,2,married,0.52
139,22,worker,80,master,339242,3,2,12,3,2,single,0.52
140,37,worker,65,bachelor,314945,1,0,7,5,1,divorsed,0.59
141,48,worker,82,master,363915,5,2,9,6,2,single,0.67
142,18,worker,87,none,85088,2,0,4,1,1,single,0.54
143,36,worker,61,phd,542498,2,1,0,6,0,married,0.59
144,37,worker,14,bachelor,463378,3,2,9,6,2,married,0.42
145,42,student,9,bachelor,102704,4,1,9,2,1,divorsed,0.47
146,22,student,4,bachelor,79701,2,1,3,3,1,single,0.43
147,21,student,10,none,87323,1,0,9,3,0,single,0.42
148,40,entrepreneur,33,bachelor,908308,3,1,9,8,2,divorsed,0.56
149,37,unemployed,31,master,84577,2,1,4,2,2,married,0.52
150,37,worker,52,bachelor,277464,4,1,13,5,2,married,0.4
151,38,worker,7,bachelor,348813,9,6,8,6,2,divorsed,0.37
152,28,student,20,bachelor,10398,3,1,1,1,2,single,0.43
153,37,worker,97,master,560010,2,1,6,6,1,married,0.61
154,37,student,19,bachelor,95080,4,3,21,3,1,married,0.36
155,27,worker,93,bachelor,493287,4,2,14,4,0,single,0.6
156,53,unemployed,23,master,91959,0,0,1,5,2,married,0.54
157,39,student,13,master,225146,1,0,30,5,3,married,0.45
158,23,entrepreneur,48,bachelor,742480,1,0,2,6,1,single,0.63
159,41,student,23,master,93252,3,2,4,4,3,married,0.59
160,25,worker,69,bachelor,590733,2,1,2,7,1,single,0.58
161,42,student,5,master,149677,1,0,13,3,2,divorsed,0.39
162,46,worker,31,bachelor,502885,3,2,8,6,2,married,0.45
163,26,student,21,bachelor,125140,2,1,8,3,1,married,0.53
164,44,worker,20,bachelor,387986,9,7,11,6,2,married,0.42
165,39,worker,34,bachelor,436718,7,4,8,5,2,single,0.49
166,43,worker,79,bachelor,476191,1,0,4,7,1,single,0.65
167,53,worker,33,phd,634482,4,2,25,7,3,divorsed,0.51
168,32,unemployed,26,bachelor,62002,1,0,8,5,1,single,0.42
169,27,worker,78,master,431689,1,0,13,3,2,single,0.49
170,26,student,20,bachelor,104509,2,1,1,2,0,married,0.5
171,26,worker,15,master,251694,3,1,4,4,0,married,0.49
172,34,entrepreneur,143,master,1355115,2,1,14,11,1,married,0.67
173,38,worker,67,bachelor,273629,0,0,4,4,1,married,0.59
174,37,worker,9,bachelor,392915,2,1,12,6,1,married,0.43
175,43,student,5,bachelor,151777,1,0,6,4,1,married,0.51
176,35,worker,95,bachelor,516574,4,2,15,4,2,married,0.57
177,49,worker,85,bachelor,241498,3,1,13,7,2,single,0.43
178,32,unemployed,7,bachelor,94196,2,1,2,2,1,married,0.45
179,62,entrepreneur,27,master,995682,4,1,1,11,2,single,0.52
180,41,student,5,master,118691,2,1,4,6,2,married,0.44
181,26,worker,54,bachelor,143379,4,2,3,2,1,married,0.55
182,24,student,0,master,261338,4,2,4,2,0,single,0.43
183,39,worker,88,master,358311,1,0,0,4,0,married,0.63
184,32,entrepreneur,189,bachelor,968270,5,3,6,6,0,married,0.7
185,42,worker,22,bachelor,401316,3,2,11,5,2,single,0.42
186,39,worker,33,bachelor,281996,3,1,4,3,1,married,0.52
187,34,student,11,bachelor,91057,2,1,11,4,2,single,0.43
188,26,entrepreneur,151,bachelor,1189736,4,1,11,6,1,single,0.71
189,19,worker,75,none,291639,4,2,0,4,0,single,0.51
190,30,worker,76,master,688261,1,0,16,4,2,married,0.56
191,43,student,7,master,199425,1,0,1,5,1,married,0.53
192,37,worker,8,bachelor,435776,4,1,7,6,2,married,0.61
193,22,unemployed,16,master,42141,3,2,22,2,0,single,0.35
194,36,worker,26,master,660000,3,2,24,5,1,divorsed,0.44
195,38,worker,13,bachelor,368154,3,1,5,5,0,married,0.63
196,26,worker,69,bachelor,131956,3,2,0,2,1,married,0.57
197,36,entrepreneur,198,bachelor,959974,2,1,8,8,2,married,0.67
198,35,worker,35,bachelor,725481,2,1,56,5,0,single,0.23
199,23,student,10,bachelor,152115,3,1,11,3,1,single,0.48
200,38,worker,25,bachelor,632495,3,1,2,6,1,single,0.53
201,40,worker,21,bachelor,524423,3,1,7,7,3,married,0.49
202,45,entrepreneur,164,bachelor,1103126,1,0,8,11,2,married,0.76
203,45,entrepreneur,71,master,2318633,5,3,14,15,1,married,0.65
204,21,worker,50,none,455216,0,0,18,4,1,single,0.51
205,25,student,8,bachelor,150862,5,3,18,2,0,married,0.45
206,40,unemployed,18,bachelor,33620,4,1,19,3,1,married,0.44
207,40,worker,66,master,511448,2,0,22,6,1,single,0.58
208,40,worker,45,bachelor,394468,4,2,4,6,1,married,0.49
209,65,worker,66,bachelor,508720,4,3,4,8,3,married,0.54
210,40,worker,72,bachelor,424087,2,0,6,6,1,married,0.61
211,46,student,15,master,83464,2,1,12,3,1,single,0.43
212,44,entrepreneur,87,master,1103885,3,1,0,10,1,married,0.7
213,41,entrepreneur,26,master,222911,2,0,5,4,2,married,0.54
214,31,worker,58,bachelor,121185,0,0,0,4,0,single,0.64
215,42,worker,9,master,644399,2,1,10,7,0,married,0.57
216,27,student,22,bachelor,148609,2,0,3,3,0,married,0.57
217,32,student,6,bachelor,24703,3,1,0,3,1,single,0.45
218,30,worker,42,bachelor,530795,2,1,1,7,1,single,0.64
219,35,worker,82,master,619894,3,1,22,7,2,married,0.5
220,58,unemployed,10,bachelor,86574,4,3,18,5,1,married,0.42
221,18,entrepreneur,176,none,844968,3,2,13,6,0,single,0.81
222,41,worker,90,master,374424,3,1,3,8,1,married,0.65
223,18,worker,34,bachelor,701849,4,3,6,6,0,single,0.55
224,30,student,16,master,137199,2,1,28,3,1,married,0.28
225,45,unemployed,10,bachelor,33554,3,0,20,5,3,married,0.52
226,35,worker,56,master,461724,3,0,11,4,0,married,0.62
227,24,student,17,master,82856,7,6,15,1,0,married,0.36
228,27,worker,33,bachelor,255635,0,0,0,2,1,married,0.57
229,41,entrepreneur,85,bachelor,1273229,2,0,13,8,1,married,0.62
230,27,entrepreneur,144,bachelor,1114386,3,1,6,8,2,married,0.72
231,37,student,23,bachelor,190200,5,1,2,3,3,divorsed,0.55
232,35,entrepreneur,75,bachelor,1191581,2,1,31,8,1,single,0.58
233,28,worker,94,bachelor,404036,4,3,20,3,2,married,0.49
234,56,student,0,master,153179,9,7,18,6,2,married,0.41
235,41,entrepreneur,28,bachelor,757476,2,0,5,6,1,married,0.51
236,18,entrepreneur,108,bachelor,1682415,3,2,2,11,1,single,0.72
237,36,worker,60,bachelor,295003,2,1,10,4,0,divorsed,0.51
238,28,worker,14,bachelor,364471,2,1,6,6,0,married,0.45
239,43,entrepreneur,121,master,794787,3,1,11,7,2,divorsed,0.66
240,27,entrepreneur,27,bachelor,1275256,2,0,5,9,0,married,0.59
241,33,entrepreneur,155,bachelor,1485585,3,1,25,10,3,single,0.65
242,40,worker,18,bachelor,210574,2,1,31,5,0,married,0.36
243,43,unemployed,13,master,26251,4,2,15,5,3,single,0.42
244,22,unemployed,21,master,38173,2,1,3,2,0,single,0.47
245,31,student,20,master,176509,2,1,1,4,0,single,0.46
246,30,entrepreneur,84,master,764354,2,1,5,7,2,single,0.69
247,28,worker,68,bachelor,426712,7,5,5,3,0,single,0.59
248,52,worker,46,master,619523,3,2,17,8,0,married,0.53
249,39,worker,58,phd,417144,4,2,0,6,3,divorsed,0.67
250,22,student,3,bachelor,23450,1,0,0,2,1,single,0.57
251,44,worker,79,master,425163,2,0,4,5,1,married,0.64
252,56,entrepreneur,110,master,2098779,6,2,1,15,4,divorsed,0.73
253,45,student,20,bachelor,57762,3,1,4,3,2,married,0.44
254,19,worker,14,bachelor,298548,2,1,2,1,1,single,0.53
255,30,unemployed,18,bachelor,10300,1,0,40,4,3,married,0.35
256,47,worker,53,master,253627,5,3,7,6,2,single,0.42
257,27,worker,85,bachelor,180563,1,0,9,2,2,married,0.52
258,39,worker,54,master,795328,0,0,17,8,1,single,0.58
259,42,worker,23,master,379099,1,0,7,5,0,married,0.46
260,25,worker,15,bachelor,432999,4,1,5,5,0,single,0.56
261,34,entrepreneur,126,bachelor,1249593,4,2,8,12,2,single,0.66
262,18,worker,59,bachelor,360852,2,1,1,2,2,single,0.58
263,24,entrepreneur,90,bachelor,1008949,2,0,16,7,1,single,0.58
264,32,worker,20,master,482110,3,2,10,4,3,married,0.53
265,22,worker,16,master,669335,3,1,27,6,0,single,0.49
266,51,worker,45,master,269086,2,0,13,6,1,divorsed,0.51
267,20,entrepreneur,129,none,637786,3,1,3,4,1,single,0.69
268,30,worker,52,bachelor,475468,2,0,17,4,1,married,0.5
269,36,student,21,master,7269,2,1,1,3,1,married,0.61
270,49,student,4,bachelor,162471,6,3,1,5,2,married,0.45
271,20,worker,25,bachelor,211344,6,4,23,2,0,single,0.4
272,46,worker,27,master,389458,1,0,1,7,3,married,0.6
273,35,worker,53,bachelor,418995,2,1,0,6,1,married,0.62
274,25,student,17,master,262018,8,4,37,3,1,married,0.24
275,39,entrepreneur,27,bachelor,434603,2,1,5,7,0,divorsed,0.53
276,36,worker,10,bachelor,289005,2,1,13,5,2,single,0.48
277,28,worker,70,bachelor,410151,2,1,13,4,0,single,0.49
278,35,worker,88,master,484244,3,2,3,6,3,married,0.57
279,31,student,9,bachelor,211907,1,0,1,5,0,married,0.59
280,36,entrepreneur,32,bachelor,1213621,7,2,1,9,0,married,0.57
281,41,student,12,bachelor,39836,5,2,5,4,1,married,0.4
282,50,worker,60,bachelor,152392,3,2,31,4,2,married,0.52
283,22,entrepreneur,35,bachelor,1395807,3,2,4,8,2,married,0.65
284,56,worker,28,bachelor,409957,4,2,22,5,2,married,0.41
285,18,worker,92,bachelor,570323,4,1,16,4,0,single,0.63
286,33,worker,16,bachelor,311503,2,1,7,4,2,married,0.49
287,40,entrepreneur,186,master,868739,4,2,1,9,1,divorsed,0.75
288,37,unemployed,1,bachelor,26666,2,1,12,3,1,divorsed,0.4
289,28,entrepreneur,64,master,1035151,2,0,11,8,2,married,0.74
290,32,worker,16,bachelor,232611,4,2,6,5,2,married,0.56
291,30,unemployed,14,master,108277,2,0,6,2,2,single,0.45
292,29,student,8,master,146571,3,2,0,4,2,single,0.49
293,43,student,11,master,61265,3,1,4,2,1,married,0.49
294,38,entrepreneur,133,master,1691074,2,1,5,11,2,married,0.7
295,28,student,3,bachelor,130033,0,0,1,2,0,single,0.48
296,43,student,22,master,117047,4,1,2,4,1,married,0.5
297,38,student,23,bachelor,0,2,1,3,3,2,married,0.52
298,43,worker,19,master,241988,3,2,7,5,3,married,0.43
299,41,entrepreneur,193,phd,978828,1,0,0,8,4,divorsed,0.73
300,26,worker,32,master,877513,4,2,6,5,1,married,0.52
301,29,student,20,bachelor,77418,3,1,4,1,0,single,0.54
302,42,worker,54,bachelor,468310,4,2,7,7,2,married,0.48
303,41,unemployed,29,bachelor,87017,4,1,8,5,1,single,0.53
304,34,entrepreneur,55,bachelor,749997,1,0,17,7,1,married,0.41
305,36,worker,49,bachelor,494771,2,1,4,3,2,single,0.56
306,47,unemployed,26,bachelor,28753,2,0,17,4,2,married,0.33
307,29,entrepreneur,139,master,1681771,2,1,0,10,1,single,0.77
308,40,student,1,master,110369,3,2,0,4,2,married,0.51
309,32,student,9,master,67252,2,1,2,4,2,single,0.48
310,32,student,22,bachelor,175672,5,4,8,4,1,married,0.47
311,45,entrepreneur,140,master,1476791,3,2,15,12,1,married,0.66
312,43,student,3,phd,140246,4,1,33,6,3,divorsed,0.38
313,43,worker,60,master,675286,3,1,3,7,1,married,0.62
314,48,student,13,bachelor,123005,4,3,4,5,2,married,0.44
315,35,unemployed,15,bachelor,26386,4,3,2,3,2,divorsed,0.52
316,41,worker,94,phd,686326,2,1,3,6,1,married,0.64
317,31,unemployed,17,bachelor,50609,2,1,5,2,1,single,0.49
318,38,unemployed,1,bachelor,63217,3,2,9,4,1,married,0.46
319,33,student,5,bachelor,100940,3,2,8,4,0,single,0.48
320,35,worker,72,bachelor,290159,3,1,0,2,1,single,0.59
321,40,student,19,master,60915,2,1,7,4,2,divorsed,0.52
322,26,unemployed,18,bachelor,17709,1,0,14,3,2,married,0.53
323,55,worker,18,bachelor,287818,1,0,10,7,1,married,0.48
324,24,student,16,bachelor,154044,2,0,10,3,1,single,0.44
325,22,student,13,master,154897,2,0,0,4,0,single,0.59
326,46,worker,35,bachelor,370684,2,1,7,6,3,single,0.5
327,42,unemployed,21,master,90651,1,0,3,4,1,married,0.56
328,41,worker,48,bachelor,412705,5,2,14,4,2,married,0.58
329,41,entrepreneur,59,master,1341845,2,0,0,10,3,married,0.73
330,34,worker,48,phd,1011977,2,1,9,10,1,married,0.59
331,26,student,17,bachelor,138595,5,3,1,3,0,married,0.46
332,35,unemployed,1,bachelor,49791,2,1,7,3,1,married,0.53
333,28,student,22,bachelor,63439,4,1,0,2,2,married,0.56
334,44,unemployed,20,master,65412,1,0,7,5,3,married,0.47
335,33,worker,77,bachelor,252497,3,1,10,3,2,single,0.64
336,26,student,13,bachelor,174216,4,1,4,5,2,married,0.42
337,31,worker,39,bachelor,463887,2,1,28,6,1,single,0.42
338,39,unemployed,12,bachelor,85234,0,0,5,5,2,married,0.54
339,29,unemployed,9,bachelor,39297,8,3,3,4,2,married,0.44
340,26,student,7,master,66326,3,1,16,2,0,married,0.4
341,37,student,6,master,144240,4,2,2,3,2,married,0.52
342,37,worker,18,bachelor,341927,1,0,16,5,1,married,0.43
343,29,worker,95,bachelor,427377,6,3,19,6,1,married,0.53
344,30,entrepreneur,195,master,215102,7,4,3,3,2,married,0.6
345,37,student,18,master,220200,4,1,11,4,1,married,0.46
346,20,unemployed,23,none,63645,4,1,5,2,0,single,0.5
347,20,worker,84,none,143420,2,1,8,0,0,single,0.58
348,27,entrepreneur,65,bachelor,242322,6,2,8,2,1,single,0.47
349,32,worker,7,master,539560,7,4,2,5,2,married,0.45
350,38,worker,42,bachelor,189702,4,2,19,5,2,single,0.45
351,49,unemployed,18,bachelor,57181,4,2,41,5,1,married,0.3
352,43,worker,38,bachelor,0,3,1,7,3,1,married,0.57
353,33,entrepreneur,12,bachelor,627653,4,1,1,6,2,married,0.6
354,34,unemployed,31,bachelor,31187,5,1,13,3,1,married,0.48
355,24,worker,33,bachelor,543359,5,1,1,4,2,single,0.55
356,34,worker,22,bachelor,640970,4,2,0,5,1,married,0.58
357,32,student,5,master,165560,3,1,6,6,1,married,0.53
358,38,student,19,bachelor,1329,6,4,11,2,2,married,0.43
359,26,student,11,bachelor,136291,2,1,6,2,2,married,0.48
360,40,student,19,master,81526,2,1,2,5,2,married,0.56
361,50,worker,52,bachelor,376784,3,1,6,6,1,married,0.53
362,33,worker,18,bachelor,695857,0,0,1,6,1,married,0.56
363,39,worker,81,master,667357,4,2,24,6,2,married,0.54
364,41,worker,35,bachelor,390783,0,0,5,6,3,married,0.56
365,30,student,20,master,201703,5,3,3,4,4,married,0.51
366,37,student,1,master,125530,5,1,15,3,0,married,0.37
367,35,worker,58,master,347190,6,4,7,6,2,married,0.49
368,35,worker,23,master,378931,3,0,1,4,2,married,0.57
369,27,worker,33,bachelor,559863,4,2,1,5,1,single,0.58
370,35,worker,9,bachelor,248368,1,0,3,3,1,married,0.58
371,39,entrepreneur,53,phd,1084961,1,0,14,9,1,married,0.61
372,49,worker,11,bachelor,655801,5,2,6,8,2,married,0.55
373,44,worker,14,bachelor,417044,2,1,2,5,2,married,0.47
374,56,unemployed,19,bachelor,42594,3,2,0,6,3,married,0.45
375,27,entrepreneur,49,bachelor,1190046,4,2,4,8,2,single,0.66
376,43,worker,73,bachelor,358769,4,1,2,5,2,single,0.62
377,36,worker,55,master,571273,0,0,29,7,2,married,0.4
378,56,student,12,bachelor,119459,3,0,2,5,4,married,0.48
379,26,worker,99,master,240064,0,0,12,5,1,single,0.63
380,26,unemployed,9,bachelor,0,3,2,2,3,2,married,0.51
381,29,worker,73,bachelor,436916,4,1,0,3,1,single,0.59
382,18,unemployed,24,none,50988,5,2,0,2,0,single,0.52
383,29,worker,36,bachelor,535946,1,0,3,5,0,married,0.58
384,27,unemployed,14,bachelor,0,3,1,23,2,1,single,0.37
385,36,worker,17,master,672931,2,1,2,7,0,married,0.53
386,38,student,14,bachelor,107345,3,0,8,5,1,married,0.57
387,53,worker,66,master,627412,5,3,2,6,3,married,0.55
388,44,worker,58,bachelor,565312,3,1,12,7,3,single,0.56
389,29,student,9,bachelor,101656,2,0,14,3,1,married,0.37
390,26,entrepreneur,151,bachelor,1613066,3,1,2,10,1,married,0.9
391,39,worker,27,bachelor,325800,1,0,0,5,2,married,0.66
392,21,entrepreneur,192,bachelor,542735,3,1,1,5,1,single,0.68
393,53,worker,26,master,527827,4,1,6,6,2,married,0.59
394,46,student,2,bachelor,123544,1,0,5,4,2,married,0.55
395,30,unemployed,6,master,28553,3,1,1,2,0,married,0.47
396,18,worker,87,none,98483,2,1,1,2,1,single,0.62
397,48,worker,32,master,165191,3,1,8,5,2,married,0.44
398,33,worker,65,master,651596,1,0,49,7,1,single,0.41
399,47,worker,52,master,378941,2,0,26,7,1,married,0.5
400,19,unemployed,1,none,39021,1,0,21,1,1,married,0.42
401,29,worker,20,bachelor,406345,3,1,0,5,0,married,0.56
402,35,worker,29,bachelor,467044,2,1,1,5,4,married,0.53
403,35,entrepreneur,21,phd,1126795,2,1,12,11,0,married,0.57
404,30,student,23,master,175753,4,2,21,2,3,single,0.45
405,41,worker,93,bachelor,163540,1,0,3,3,2,divorsed,0.53
406,24,unemployed,23,master,32077,4,1,6,0,1,married,0.49
407,33,worker,93,master,592014,4,3,4,6,2,married,0.64
408,36,entrepreneur,115,bachelor,470120,1,0,1,6,0,single,0.78
409,40,worker,62,master,524939,1,0,5,5,3,single,0.71
410,42,entrepreneur,45,bachelor,2229720,1,0,5,14,2,married,0.7
411,23,unemployed,8,bachelor,12183,6,4,10,3,0,single,0.44
412,19,worker,45,none,374384,3,1,13,4,1,single,0.53
413,47,student,10,master,57225,3,1,15,4,2,married,0.33
414,38,worker,95,master,774408,3,1,1,7,1,married,0.61
415,27,entrepreneur,12,bachelor,616406,1,0,9,5,1,single,0.46
416,50,student,20,bachelor,81160,2,1,2,5,4,married,0.49
417,36,student,10,bachelor,88230,3,1,14,4,2,married,0.45
418,46,worker,87,master,976391,1,0,6,10,1,single,0.63
419,35,unemployed,25,bachelor,29083,3,1,4,4,0,married,0.49
420,55,worker,58,master,464163,2,0,20,7,2,married,0.49
421,52,worker,52,bachelor,380480,3,2,20,7,4,married,0.48
422,32,student,23,master,151835,5,3,26,4,2,married,0.38
