user_product_id,user_id,product_id,start_date,end_date,status,balance,monthly_payment,payment_progress,last_payment_date
7048,24,201,2022-10-28,2024-04-20,Active,45100395,715879.29,0.61,2023-11-28
7049,25,208,2021-03-12,2022-09-03,Active,2779034,347379.25,0.66,2022-08-25
7050,25,203,2022-10-18,2025-10-02,Active,14871347,619639.46,0.34,2024-12-21
7051,25,208,2022-12-20,2023-06-18,Active,1771073,221384.12,0.35,2023-09-08
7052,26,207,2023-12-24,2024-06-21,Active,221011,3327.78,0.86,2024-02-03
7053,26,201,2020-05-24,2020-11-20,Completed,24059190,189442.44,1.0,2021-02-22
7054,27,204,2023-06-05,2024-05-30,Active,218417,19856.09,0.98,2025-10-15
7055,28,208,2023-01-28,2032-12-06,Completed,1461437,208776.71,1.0,2023-11-26
7056,29,208,2024-02-08,2024-08-06,Active,729145,104163.57,0.37,2026-03-03
7057,30,208,2023-07-12,2024-01-08,Completed,3638553,519793.29,1.0,2025-04-04
7058,30,202,2023-01-03,2025-12-18,Active,3432978,104029.64,0.21,2024-05-10
7059,30,206,2020-03-15,2020-09-11,Completed,1371873,57974.71,1.0,2021-06-26
7060,31,206,2021-06-22,2022-06-17,Active,747642,8526.32,0.41,2021-10-09
7061,31,208,2020-12-03,2030-10-12,Active,3547629,295635.75,0.35,2022-05-25
7062,32,207,2024-03-18,2024-09-14,Active,152187,3657.69,0.19,2026-04-08
7063,33,208,2024-02-13,2033-12-22,Active,479279,79879.83,0.74,2026-04-22
7064,34,203,2022-05-04,2023-04-29,Active,9525064,207066.61,0.47,2023-11-02
7065,34,203,2023-04-27,2026-04-11,Completed,6335413,395963.31,1.0,2025-05-19
7066,34,202,2023-02-06,2028-01-11,Active,9531007,164327.71,0.3,2024-07-12
7067,35,207,2022-02-28,2027-02-02,Completed,434863,4818.3,1.0,2022-04-22
7068,35,208,2023-04-12,2024-04-06,Completed,3308602,330860.2,1.0,2024-04-10
7069,35,207,2022-06-02,2027-05-07,Active,73576,1560.19,0.24,2022-07-22
7070,36,206,2024-10-11,2029-09-15,Active,565239,20325.29,0.34,2026-10-25
7071,37,205,2022-09-23,2025-09-07,Active,755545,58118.85,0.8,2024-06-24
7072,38,206,2022-10-03,2024-03-26,Active,226144,2617.65,0.61,2023-08-12
7073,39,201,2021-09-28,2024-09-12,Completed,13831240,116228.91,1.0,2022-06-10
7074,40,205,2022-03-21,2024-03-10,Active,409894,29278.14,0.17,2024-07-03
7075,40,204,2024-09-05,2026-02-27,Completed,218252,12125.11,1.0,2026-09-28
7076,41,203,2023-02-07,2024-02-02,Completed,17603072,586769.07,1.0,2025-02-19
7077,42,204,2020-04-13,2025-03-18,Active,1373467,57227.79,0.6,2021-01-09
7078,42,205,2021-12-15,2026-11-19,Completed,229086,16363.29,1.0,2022-05-20
7079,42,204,2020-03-10,2020-09-06,Active,1588884,69081.91,0.43,2020-09-29
7080,43,206,2020-07-23,2021-01-19,Completed,1153041,56125.75,1.0,2021-03-12
7081,44,208,2021-07-03,2022-06-28,Completed,1857867,206429.67,1.0,2023-03-27
7082,44,201,2023-05-30,2025-05-19,Active,14989963,64611.91,0.73,2023-10-27
7083,44,205,2021-11-14,2024-10-29,Active,1449185,96612.33,0.62,2023-05-27
7084,45,204,2020-03-28,2025-03-02,Completed,345662,15028.78,1.0,2022-02-20
7085,45,202,2023-09-01,2026-08-16,Completed,5532314,153675.39,1.0,2024-04-10
7086,45,207,2020-03-12,2020-09-08,Active,194440,3626.61,0.38,2022-06-03
7087,46,207,2024-06-12,2024-12-09,Active,197016,4834.86,0.93,2026-05-22
7088,46,202,2021-04-14,2023-04-04,Active,6938481,165201.93,0.25,2021-09-15
7089,47,203,2024-10-03,2026-09-23,Completed,12635411,665021.63,1.0,2026-08-28
7090,48,201,2020-04-03,2021-09-25,Active,43462706,426104.96,0.55,2022-02-23
7091,48,208,2021-04-02,2022-03-28,Completed,477013,68144.71,1.0,2022-02-19
7092,49,206,2024-06-27,2029-06-01,Completed,1682681,80405.74,1.0,2025-04-20
7093,50,202,2023-02-10,2025-01-30,Completed,6203442,110775.75,1.0,2024-09-07
7094,50,207,2024-02-15,2026-02-04,Active,321614,7160.02,0.87,2026-04-19
7095,51,204,2024-08-14,2026-02-05,Active,220200,11589.47,0.23,2025-03-30
7096,51,207,2021-03-02,2022-08-24,Active,76394,1535.91,0.56,2022-11-02
7097,52,206,2021-08-18,2024-08-02,Completed,1154406,51975.33,1.0,2024-01-20
7098,52,202,2023-09-02,2025-08-22,Active,2128806,51922.1,0.72,2023-10-16
7099,53,206,2022-09-01,2024-02-23,Completed,1854306,56112.98,1.0,2023-08-17
7100,54,204,2023-09-20,2033-07-29,Completed,602817,40187.8,1.0,2026-01-20
7101,54,206,2022-07-24,2024-07-13,Active,911727,34580.29,0.77,2022-11-15
7102,55,202,2022-05-20,2025-05-04,Completed,2997675,61177.04,1.0,2022-07-31
7103,55,201,2022-01-31,2022-07-30,Active,33105141,158397.8,0.24,2022-08-04
7104,56,206,2022-10-19,2024-04-11,Active,107286,3674.25,0.68,2024-11-12
7105,57,203,2021-03-08,2022-08-30,Completed,1541545,85641.39,1.0,2021-05-19
7106,58,205,2021-06-25,2026-05-30,Active,496141,62017.62,0.53,2021-09-01
7107,58,208,2023-02-14,2024-08-07,Completed,2009158,200915.8,1.0,2025-06-01
7108,58,208,2022-04-16,2025-03-31,Active,3414530,487790.0,0.24,2023-09-28
7109,59,201,2021-04-25,2022-10-17,Active,9813423,71111.76,0.83,2023-01-07
7110,59,207,2022-10-12,2024-04-04,Active,112307,2529.98,0.2,2023-09-22
7111,59,206,2022-01-10,2031-11-19,Active,1855431,77718.09,0.78,2023-08-05
7112,60,204,2023-07-10,2033-05-18,Active,721686,37983.47,0.85,2024-09-07
7113,60,207,2023-03-25,2023-09-21,Active,49897,1000.0,0.61,2025-07-07
7114,61,208,2023-10-04,2028-09-07,Completed,2924574,324952.67,1.0,2025-06-30
7115,61,204,2020-02-08,2021-08-01,Completed,184159,10231.06,1.0,2021-08-30
7116,62,206,2023-07-31,2033-06-08,Completed,1715250,85415.93,1.0,2025-09-05
7117,63,208,2020-04-20,2020-10-17,Completed,611802,61180.2,1.0,2022-03-16
7118,63,205,2021-02-07,2024-01-23,Completed,543722,45310.17,1.0,2022-12-23
7119,63,205,2024-10-20,2027-10-05,Completed,1402241,116853.42,1.0,2025-04-24
7120,64,201,2020-02-13,2022-02-02,Active,11286326,55055.25,0.51,2022-01-10
7121,64,207,2023-06-07,2033-04-15,Active,482944,12945.15,0.92,2024-09-17
7122,64,208,2023-06-07,2028-05-11,Active,2411681,267964.56,0.91,2025-11-10
7123,65,201,2022-04-12,2024-04-01,Active,34412441,204835.96,0.41,2024-06-10
7124,65,205,2024-11-27,2025-05-26,Active,1153672,115367.2,0.56,2025-10-14
7125,65,206,2021-05-02,2023-04-22,Active,1365325,42332.76,0.37,2022-01-12
7126,66,205,2020-02-25,2030-01-03,Active,480985,60123.12,0.54,2021-09-13
7127,66,206,2024-04-19,2029-03-24,Completed,1275452,34365.9,1.0,2026-01-15
7128,67,204,2020-08-21,2030-06-30,Completed,1598034,114145.29,1.0,2022-10-06
7129,67,203,2024-06-13,2025-06-08,Active,4060067,88262.33,0.24,2026-01-09
7130,67,202,2021-06-27,2026-06-01,Completed,9407175,229443.29,1.0,2022-10-14
7131,68,204,2023-01-19,2023-07-18,Completed,1163487,68440.41,1.0,2023-07-07
7132,68,201,2020-11-02,2022-04-26,Active,22780737,105466.38,0.73,2022-04-20
7133,68,206,2023-10-20,2028-09-23,Completed,259935,6564.89,1.0,2025-10-25
7134,69,202,2020-06-28,2021-06-23,Completed,2240448,93352.0,1.0,2022-09-21
7135,69,202,2022-06-04,2032-04-12,Completed,8915282,371470.08,1.0,2023-10-08
7136,70,204,2024-02-06,2025-07-30,Completed,280025,31113.89,1.0,2025-09-24
7137,70,202,2022-07-19,2023-07-14,Active,6041674,107887.04,0.3,2022-11-29
7138,70,203,2020-02-18,2025-01-22,Completed,13360663,351596.39,1.0,2021-03-22
7139,71,205,2024-12-11,2027-11-26,Active,706704,41570.82,0.4,2026-05-17
7140,71,203,2020-01-24,2024-12-28,Completed,14608516,384434.63,1.0,2020-10-31
7141,72,201,2024-10-17,2026-04-10,Completed,26605290,429117.58,1.0,2026-04-02
7142,72,202,2021-07-19,2022-07-14,Completed,7282868,165519.73,1.0,2023-05-27
7143,73,206,2024-03-30,2025-09-21,Completed,343561,16336.11,1.0,2025-12-06
7144,73,204,2022-09-19,2032-07-28,Active,545172,41936.31,0.28,2023-12-07
7145,73,208,2020-02-28,2030-01-06,Completed,528895,75556.43,1.0,2022-05-19
7146,74,204,2024-08-28,2026-08-18,Active,1406641,74033.74,0.88,2024-12-01
7147,75,201,2022-06-17,2027-05-22,Completed,25865709,224919.21,1.0,2022-12-24
7148,75,202,2023-06-26,2025-06-15,Active,2878010,70195.37,0.25,2025-05-30
7149,76,201,2023-07-28,2024-01-24,Completed,11954313,50018.05,1.0,2023-09-17
7150,76,206,2021-11-06,2026-10-11,Completed,425699,7794.07,1.0,2022-10-01
7151,77,207,2021-05-15,2022-05-10,Active,455240,8177.62,0.44,2022-07-03
7152,77,202,2020-01-21,2021-01-15,Completed,6920245,133081.63,1.0,2020-07-08
7153,78,206,2020-08-14,2022-08-04,Active,691086,13131.15,0.15,2021-06-13
7154,79,207,2023-11-10,2028-10-14,Completed,149503,1975.17,1.0,2025-04-11
7155,79,201,2021-01-24,2023-01-14,Completed,49331076,469819.77,1.0,2022-04-11
7156,80,205,2021-02-27,2026-02-01,Active,169403,13031.0,0.13,2021-03-31
7157,81,206,2021-12-15,2026-11-19,Completed,1630719,51582.95,1.0,2022-02-07
7158,81,205,2020-06-23,2021-06-18,Active,1087397,181232.83,0.19,2020-10-07
7159,82,206,2023-07-21,2033-05-29,Active,1150770,19111.06,0.7,2024-03-22
7160,82,207,2023-01-04,2025-12-19,Active,251985,4711.36,0.62,2024-05-11
7161,82,202,2021-08-11,2023-08-01,Active,4249148,96571.55,0.79,2022-07-07
7162,83,208,2021-03-18,2022-09-09,Completed,2065929,206592.9,1.0,2023-04-20
7163,83,204,2024-09-16,2025-09-11,Active,1604184,84430.74,0.88,2026-02-09
7164,84,204,2023-08-27,2024-02-23,Active,718541,51324.36,0.43,2025-11-12
7165,85,207,2020-10-21,2023-10-06,Completed,399926,8792.42,1.0,2023-01-18
7166,86,204,2020-10-13,2022-10-03,Completed,721461,51532.93,1.0,2022-06-01
7167,87,201,2021-05-08,2021-11-04,Active,5392450,77035.0,0.35,2021-06-19
7168,87,204,2021-12-29,2023-12-19,Completed,1635424,90856.89,1.0,2024-03-10
7169,88,208,2020-03-16,2020-09-12,Completed,3864461,483057.62,1.0,2021-02-27
7170,88,203,2020-12-23,2021-06-21,Completed,13677045,284938.44,1.0,2021-04-17
7171,89,203,2021-06-17,2023-06-07,Active,11373283,541584.9,0.54,2022-09-28
7172,90,205,2022-10-30,2023-04-28,Active,189241,17203.73,0.93,2024-10-13
7173,90,202,2021-01-25,2022-07-19,Completed,8608561,204965.74,1.0,2022-12-12
7174,90,204,2021-09-22,2024-09-06,Active,1809448,120629.87,0.72,2023-07-24
7175,91,202,2020-07-29,2030-06-07,Active,7546599,171513.61,0.57,2022-02-14
7176,91,201,2024-10-12,2025-04-10,Completed,43678131,507885.24,1.0,2025-06-04
7177,91,202,2024-01-01,2026-12-16,Active,4086966,110458.54,0.62,2025-11-21
7178,92,206,2021-08-22,2026-07-27,Active,1920069,22378.45,0.71,2022-11-08
7179,92,208,2022-04-27,2027-04-01,Active,1998381,181671.0,0.93,2024-05-12
7180,92,202,2024-12-04,2027-11-19,Completed,5554332,191528.69,1.0,2026-02-26
7181,93,203,2023-08-14,2028-07-18,Completed,8493702,606693.0,1.0,2025-12-07
7182,93,208,2023-06-24,2023-12-21,Completed,4804814,600601.75,1.0,2024-11-27
7183,93,205,2023-05-26,2033-04-03,Active,1245358,155669.75,0.54,2024-11-06
7184,94,204,2022-10-25,2024-10-14,Active,317759,19859.94,0.59,2025-02-16
7185,94,206,2020-08-21,2023-08-06,Completed,443127,12186.94,1.0,2020-10-19
7186,94,207,2024-07-16,2025-01-12,Completed,380083,5220.29,1.0,2025-03-25
7187,95,208,2023-12-01,2024-05-29,Completed,4100939,512617.38,1.0,2026-03-03
7188,95,207,2022-11-06,2024-10-26,Completed,270153,7729.44,1.0,2023-12-05
7189,95,205,2022-03-07,2025-02-19,Completed,555563,79366.14,1.0,2024-01-30
7190,96,208,2024-05-30,2034-04-08,Active,4666297,777716.17,0.64,2024-08-20
7191,96,201,2022-02-02,2027-01-07,Active,41514059,658953.32,0.5,2022-11-07
7192,96,203,2022-05-31,2024-05-20,Completed,16491941,1177995.79,1.0,2023-06-13
7193,97,208,2023-03-07,2026-02-19,Active,4249586,472176.22,0.74,2024-01-23
7194,97,204,2021-07-07,2022-01-03,Active,751037,34138.05,0.43,2021-09-11
7195,97,207,2024-03-16,2025-03-11,Completed,111382,2544.55,1.0,2024-12-15
7196,98,206,2024-10-25,2026-04-18,Completed,1875656,63363.89,1.0,2026-11-10
7197,99,206,2020-02-05,2023-01-20,Completed,1393750,34199.82,1.0,2021-08-15
7198,99,206,2021-05-11,2024-04-25,Active,417046,6712.0,0.43,2022-07-14
7199,100,201,2023-10-09,2026-09-23,Active,13809363,88521.56,0.32,2025-12-06
7200,101,205,2021-01-18,2024-01-03,Active,618057,61805.7,0.26,2022-01-09
7201,101,202,2024-09-11,2026-09-01,Active,6479458,185127.37,0.5,2025-04-13
7202,101,208,2022-05-22,2024-05-11,Completed,1729672,192185.78,1.0,2023-03-02
7203,102,203,2024-03-04,2034-01-11,Completed,10280620,277854.59,1.0,2025-03-19
7204,102,201,2022-12-03,2027-11-07,Completed,20915016,118835.32,1.0,2025-04-27
7205,103,205,2024-11-22,2027-11-07,Active,121989,11089.91,0.37,2026-03-16
7206,103,207,2022-04-15,2024-04-04,Active,294646,3328.46,0.97,2023-12-14
7207,104,203,2023-11-11,2033-09-19,Active,1662316,97783.29,0.27,2025-12-24
7208,104,208,2022-12-30,2024-06-22,Active,3675543,612590.5,0.64,2025-03-19
7209,105,207,2022-11-02,2024-04-25,Completed,84147,2436.65,1.0,2024-06-19
7210,105,207,2020-06-29,2022-06-19,Completed,450132,11574.6,1.0,2022-04-29
7211,106,207,2024-03-06,2029-02-08,Completed,245682,5687.0,1.0,2026-07-03
7212,106,205,2021-10-08,2023-09-28,Completed,779857,111408.14,1.0,2024-01-07
7213,107,207,2020-12-26,2021-06-24,Active,329015,6584.7,0.53,2023-01-16
7214,107,205,2022-11-11,2032-09-19,Active,1196642,92049.38,0.44,2024-09-08
7215,108,202,2020-02-22,2021-02-16,Completed,9780147,337246.45,1.0,2020-12-09
7216,108,204,2024-06-16,2026-06-06,Completed,1663590,69316.25,1.0,2024-09-20
7217,108,207,2024-07-16,2029-06-20,Active,72993,1000.0,0.27,2025-12-20
7218,109,203,2021-08-05,2023-01-27,Completed,19490594,414693.49,1.0,2023-12-19
7219,109,207,2023-11-01,2026-10-16,Completed,20360,1000.0,1.0,2025-04-13
7220,110,208,2020-10-05,2022-09-25,Completed,851571,141928.5,1.0,2021-11-09
7221,111,203,2024-03-30,2034-02-06,Completed,2531101,110047.87,1.0,2024-12-01
7222,111,205,2023-09-18,2028-08-22,Completed,186974,15581.17,1.0,2024-03-18
7223,112,206,2021-01-01,2021-12-27,Completed,474676,5689.68,1.0,2023-03-05
7224,113,205,2024-05-01,2024-10-28,Completed,827460,68955.0,1.0,2025-11-07
7225,113,203,2024-10-25,2029-09-29,Active,3698147,86003.42,0.3,2025-05-23
7226,114,208,2022-08-30,2023-08-25,Active,1846587,230823.38,0.16,2023-11-24
7227,114,205,2023-12-13,2025-06-05,Active,1091938,90994.83,0.57,2025-07-11
7228,115,205,2021-08-21,2024-08-05,Active,579751,32208.39,0.28,2023-03-27
7229,115,201,2022-07-19,2025-07-03,Completed,37640372,164368.44,1.0,2024-09-28
7230,115,203,2021-12-10,2026-11-14,Completed,17691924,680458.62,1.0,2022-12-02
7231,116,208,2024-01-05,2024-12-30,Active,4134902,516862.75,0.13,2024-11-20
7232,116,203,2021-01-22,2025-12-27,Completed,5739673,197919.76,1.0,2022-07-01
7233,117,202,2024-10-23,2029-09-27,Active,6832785,175199.62,0.94,2027-04-06
7234,118,205,2023-09-19,2025-03-12,Active,338887,33888.7,0.13,2025-12-06
7235,118,207,2021-11-17,2023-11-07,Active,408062,11715.3,0.95,2022-03-06
7236,119,208,2023-05-11,2024-11-01,Completed,2278215,379702.5,1.0,2024-05-01
7237,119,207,2020-12-15,2023-11-30,Active,217844,3013.43,0.33,2021-07-15
7238,119,204,2021-05-18,2023-05-08,Active,983274,57839.65,0.76,2023-04-22
7239,120,201,2022-06-28,2032-05-06,Active,8261654,52622.0,0.56,2024-08-05
7240,120,202,2024-12-15,2026-06-08,Active,7754080,221545.14,0.31,2026-03-22
7241,121,201,2022-04-05,2027-03-10,Completed,36430260,262088.2,1.0,2023-05-24
7242,121,208,2024-01-08,2024-07-06,Active,2074337,296333.86,0.14,2026-01-13
7243,122,202,2020-12-14,2025-11-18,Active,9201521,270632.97,0.56,2022-12-18
7244,123,204,2020-04-04,2025-03-09,Active,317539,13230.79,0.59,2021-11-17
7245,123,207,2024-09-13,2029-08-18,Active,489347,6820.23,0.26,2025-11-26
7246,123,202,2021-10-28,2023-04-21,Completed,8182583,292235.11,1.0,2023-10-23
7247,124,207,2022-11-02,2023-10-28,Active,440883,9891.18,0.55,2024-09-17
7248,125,206,2022-02-11,2023-02-06,Completed,545744,13547.23,1.0,2022-09-03
7249,125,205,2023-10-02,2025-09-21,Active,1272605,70700.28,0.75,2025-08-10
7250,125,204,2021-07-31,2022-01-27,Active,1146735,163819.29,0.56,2022-04-22
7251,126,205,2023-11-18,2025-05-11,Completed,361576,36157.6,1.0,2025-09-27
7252,127,204,2022-08-21,2023-08-16,Completed,1150075,115007.5,1.0,2024-02-27
7253,127,201,2024-02-28,2027-02-12,Completed,20362927,96966.32,1.0,2026-04-27
7254,128,203,2021-01-31,2026-01-05,Completed,9136607,253794.64,1.0,2021-03-07
7255,129,206,2024-03-20,2026-03-10,Active,249457,3434.78,0.89,2025-07-17
7256,129,205,2021-12-26,2023-06-19,Completed,567308,33371.06,1.0,2022-09-03
7257,129,202,2024-11-20,2027-11-05,Active,8128932,193546.0,0.72,2026-04-14
7258,130,203,2020-07-14,2022-07-04,Active,12061058,634792.53,0.12,2021-11-02
7259,130,201,2022-09-11,2024-03-04,Active,43813396,492285.35,0.84,2022-10-17
7260,130,202,2024-04-14,2026-04-04,Active,5264791,95723.47,0.86,2025-07-31
7261,131,206,2020-06-25,2025-05-30,Completed,373433,8256.64,1.0,2022-02-16
7262,131,208,2022-06-08,2024-05-28,Active,4676134,425103.09,0.25,2024-04-24
7263,131,202,2024-10-13,2026-04-06,Completed,3638885,139957.12,1.0,2025-08-06
7264,132,201,2020-01-26,2021-07-19,Completed,7362018,39369.08,1.0,2020-07-06
7265,132,202,2021-01-21,2022-01-16,Active,2571749,64293.72,0.24,2022-10-05
7266,133,204,2022-06-23,2023-12-15,Active,424246,17676.92,0.28,2023-08-18
7267,133,208,2022-10-21,2023-04-19,Active,4964636,451330.55,0.16,2024-02-10
7268,134,206,2024-11-13,2029-10-18,Active,545818,16094.05,0.37,2026-11-08
7269,134,203,2024-01-26,2024-07-24,Active,10055228,386739.54,0.42,2025-04-06
7270,135,208,2021-01-13,2021-07-12,Active,336653,42081.62,0.47,2023-05-30
7271,135,203,2021-07-16,2023-01-07,Completed,8087907,622146.69,1.0,2021-12-26
7272,135,206,2023-01-28,2023-07-27,Completed,53660,1527.28,1.0,2023-09-21
7273,136,206,2021-10-31,2023-04-24,Active,392327,5648.73,0.29,2023-03-19
7274,136,201,2022-11-01,2023-04-30,Completed,5204071,33574.65,1.0,2024-01-25
7275,137,205,2020-12-06,2022-11-26,Completed,405150,23832.35,1.0,2021-01-09
7276,137,207,2024-01-14,2024-07-12,Active,41510,1000.0,0.85,2024-11-18
7277,138,205,2023-01-24,2024-01-19,Completed,1251050,113731.82,1.0,2025-03-12
7278,138,206,2024-02-01,2024-07-30,Completed,126042,4190.86,1.0,2026-02-10
7279,139,201,2023-09-21,2025-03-14,Active,13573050,92966.1,0.58,2025-06-06
7280,139,202,2022-12-08,2027-11-12,Active,6298143,153613.24,0.48,2024-09-29
7281,140,204,2020-07-02,2023-06-17,Completed,965458,107273.11,1.0,2022-12-07
7282,140,202,2020-07-30,2022-01-21,Completed,5341838,148384.39,1.0,2021-08-26
7283,140,208,2024-05-31,2027-05-16,Completed,2246194,204199.45,1.0,2026-11-02
7284,141,203,2020-04-16,2021-10-08,Completed,3828390,191419.5,1.0,2022-07-04
7285,141,202,2020-03-26,2022-03-16,Active,5607790,130413.72,0.19,2021-06-20
7286,142,204,2023-11-16,2024-11-10,Completed,225278,10239.91,1.0,2025-09-10
7287,142,207,2022-04-17,2024-04-06,Completed,175129,3921.63,1.0,2024-06-02
7288,142,206,2022-04-26,2022-10-23,Completed,1068212,30003.59,1.0,2023-10-16
7289,143,207,2024-12-25,2034-11-03,Completed,412141,12183.59,1.0,2025-10-29
7290,144,203,2021-09-08,2024-08-23,Completed,19471376,1081743.11,1.0,2023-05-12
7291,145,204,2024-02-29,2025-02-23,Active,1833049,101836.06,0.71,2026-04-02
7292,146,206,2022-06-04,2023-05-30,Completed,1993974,41294.38,1.0,2023-02-19
7293,146,206,2020-11-04,2023-10-20,Completed,341507,9497.48,1.0,2022-04-18
7294,147,201,2024-09-11,2026-09-01,Active,38899586,432217.62,0.42,2026-04-11
7295,147,202,2023-08-17,2026-08-01,Active,3033442,53218.28,0.37,2025-08-22
7296,148,206,2024-05-07,2029-04-11,Active,1941048,54874.17,0.95,2025-09-14
7297,148,204,2020-03-30,2025-03-04,Completed,311515,15575.75,1.0,2021-10-18
7298,149,207,2023-10-06,2025-09-25,Completed,72493,1682.12,1.0,2023-11-06
7299,149,204,2022-03-26,2024-03-15,Active,1600538,114324.14,0.77,2024-08-13
7300,150,204,2021-12-09,2023-06-02,Active,973478,162246.33,0.57,2022-04-05
7301,151,201,2024-08-24,2025-02-20,Completed,24044891,316380.14,1.0,2026-07-12
7302,151,202,2021-01-25,2022-01-20,Active,1376902,55076.08,0.26,2023-06-30
7303,152,204,2023-05-09,2033-03-17,Active,655647,93663.86,0.21,2024-04-24
7304,152,205,2020-10-29,2022-10-19,Active,454986,64998.0,0.89,2022-07-19
7305,153,204,2020-03-26,2030-02-02,Active,861849,78349.91,0.4,2020-10-24
7306,153,205,2020-02-11,2023-01-26,Active,1472286,81793.67,0.63,2021-11-13
7307,154,202,2023-08-23,2024-02-19,Completed,6160099,176002.83,1.0,2025-05-15
7308,154,203,2023-06-16,2024-06-10,Completed,16902318,676092.72,1.0,2024-04-27
7309,154,202,2023-12-13,2033-10-21,Completed,1911125,53086.81,1.0,2024-07-17
7310,155,204,2022-08-11,2024-02-02,Active,463034,35618.0,0.87,2024-01-07
7311,155,204,2022-12-11,2023-06-09,Active,1654107,71917.7,0.69,2023-02-15
7312,156,202,2022-05-06,2024-04-25,Completed,5154526,135645.42,1.0,2024-02-25
7313,156,203,2020-11-29,2025-11-03,Active,10697447,382051.68,0.65,2021-05-02
7314,157,203,2021-12-28,2023-06-21,Active,10083008,775616.0,0.11,2024-03-24
7315,157,202,2023-12-07,2033-10-15,Completed,6077909,164267.81,1.0,2025-02-07
