transaction_id,user_id,date,category,subcategory,amount,necessity_level,emotion_type,payment_type,product_id
122,1,2023-02-27,Personal needs,Consumer loan payment,2604723.36,3,Routine,Transfer,204.0
123,1,2023-11-15,Deposit,Account top-up,1184612.18,4,Routine,Transfer,206.0
124,1,2024-03-30,Business,Business credit payment,2226678.1,5,Routine,Cash,203.0
125,1,2024-10-05,Personal needs,Consumer loan payment,2687695.09,4,Routine,Cash,204.0
126,1,2023-08-01,Business,Business credit payment,2154909.43,3,Rational,Card,203.0
127,1,2025-05-04,Property,Mortgage payment,4135664.51,3,Rational,Cash,201.0
128,1,2024-05-24,Business,Business credit payment,4828124.85,3,Routine,Transfer,203.0
129,1,2024-05-24,Personal needs,Consumer loan payment,4425575.75,5,Rational,Card,204.0
130,1,2023-11-04,Charity,Zakat payment,83896.99,5,Rational,Transfer,
131,1,2024-08-21,Property,Mortgage payment,456453.42,5,Routine,Card,201.0
132,1,2024-06-02,Property,Mortgage payment,2795326.24,3,Planned,Card,201.0
133,1,2023-10-20,Charity,Zakat payment,65140.48,4,Rational,Transfer,
134,1,2024-04-06,Healthcare,Insurance payment,60532.09,5,Planned,Cash,208.0
135,1,2025-04-23,Deposit,Account top-up,1729704.49,5,Planned,Transfer,206.0
136,1,2023-03-01,Auto,Auto loan installment,790706.92,5,Routine,Cash,202.0
137,1,2024-06-01,Charity,Zakat payment,9589.04,4,Rational,Card,
138,1,2025-01-07,Card,Card replenishment,3252806.9,5,Routine,Cash,207.0
139,1,2025-08-28,Healthcare,Insurance payment,790040.52,4,Routine,Card,208.0
140,1,2025-09-09,Personal needs,Consumer loan payment,3337575.15,3,Routine,Cash,204.0
141,1,2025-08-20,Business,Business credit payment,1288059.25,4,Planned,Cash,203.0
142,1,2023-06-12,Personal needs,Consumer loan payment,362661.91,4,Rational,Cash,204.0
143,1,2025-04-08,Deposit,Account top-up,1871783.06,5,Routine,Cash,206.0
144,1,2024-04-19,Charity,Zakat payment,38529.69,5,Routine,Card,
145,1,2023-02-26,Auto,Auto loan installment,2384777.21,4,Routine,Card,202.0
146,1,2023-06-22,Charity,Zakat payment,55410.41,5,Planned,Transfer,
147,1,2023-12-08,Property,Mortgage payment,3979286.67,4,Planned,Transfer,201.0
148,1,2024-07-13,Healthcare,Insurance payment,2670442.4,4,Rational,Cash,208.0
149,1,2025-08-22,Card,Card replenishment,4374810.82,5,Rational,Card,207.0
150,1,2023-06-29,Card,Card replenishment,2762555.5,3,Routine,Transfer,207.0
151,1,2025-09-09,Card,Card replenishment,181403.72,5,Rational,Transfer,207.0
152,1,2024-12-11,Business,Business credit payment,181258.53,5,Rational,Transfer,203.0
153,1,2023-10-28,Auto,Auto loan installment,703212.86,3,Rational,Transfer,202.0
154,1,2025-04-30,Charity,Zakat payment,107017.58,3,Rational,Transfer,
155,1,2023-02-12,Deposit,Account top-up,3173235.3,5,Planned,Card,206.0
156,1,2023-11-29,Business,Business credit payment,1522577.86,4,Planned,Card,203.0
157,1,2025-06-19,Charity,Zakat payment,63493.13,4,Rational,Cash,
158,1,2024-11-15,Personal needs,Consumer loan payment,1668956.8,5,Rational,Card,204.0
159,1,2025-09-26,Property,Mortgage payment,3177999.62,3,Rational,Card,201.0
160,1,2025-03-07,Healthcare,Insurance payment,204686.95,4,Rational,Card,208.0
161,1,2025-03-26,Card,Card replenishment,1310946.09,5,Rational,Cash,207.0
162,1,2025-07-24,Auto,Auto loan installment,29117.04,3,Routine,Card,202.0
163,1,2025-01-29,Deposit,Account top-up,3553504.4,3,Rational,Cash,206.0
164,1,2023-09-16,Personal needs,Consumer loan payment,4870497.46,3,Routine,Card,204.0
165,1,2023-04-04,Card,Card replenishment,3659629.88,5,Planned,Transfer,207.0
166,1,2025-03-29,Card,Card replenishment,1624945.25,5,Routine,Cash,207.0
167,1,2023-02-13,Card,Card replenishment,1215712.73,3,Routine,Card,207.0
168,1,2023-10-29,Personal needs,Consumer loan payment,4972511.03,5,Rational,Card,204.0
169,1,2025-04-06,Education,Student loan payment,4047668.17,4,Planned,Transfer,205.0
170,1,2023-05-29,Healthcare,Insurance payment,2023450.65,3,Routine,Cash,208.0
171,1,2025-09-28,Business,Business credit payment,2421371.73,4,Routine,Cash,203.0
172,1,2024-01-30,Charity,Zakat payment,32780.85,3,Routine,Cash,
173,1,2024-10-25,Property,Mortgage payment,332797.43,5,Planned,Transfer,201.0
174,1,2023-03-04,Card,Card replenishment,3009014.46,5,Routine,Cash,207.0
175,1,2025-02-10,Education,Student loan payment,3516223.64,5,Routine,Cash,205.0
176,1,2024-03-26,Business,Business credit payment,1336281.69,4,Planned,Card,203.0
177,1,2024-05-29,Auto,Auto loan installment,508577.24,3,Planned,Card,202.0
178,1,2025-05-08,Personal needs,Consumer loan payment,3321892.48,4,Rational,Card,204.0
179,1,2023-02-23,Business,Business credit payment,656698.05,5,Planned,Cash,203.0
180,1,2023-02-14,Healthcare,Insurance payment,1163703.65,3,Planned,Card,208.0
181,1,2024-10-10,Deposit,Account top-up,2367951.06,3,Planned,Transfer,206.0
182,1,2024-07-08,Personal needs,Consumer loan payment,3789211.37,3,Routine,Card,204.0
183,1,2025-10-16,Education,Student loan payment,3227402.16,5,Rational,Card,205.0
184,1,2025-01-16,Healthcare,Insurance payment,1521845.08,3,Routine,Card,208.0
185,1,2024-09-25,Charity,Zakat payment,102799.79,4,Routine,Cash,
186,1,2025-03-31,Healthcare,Insurance payment,2902640.06,3,Routine,Cash,208.0
187,1,2024-10-29,Property,Mortgage payment,1908837.43,4,Rational,Card,201.0
188,1,2024-07-14,Card,Card replenishment,2000777.37,5,Rational,Cash,207.0
189,1,2023-01-03,Healthcare,Insurance payment,4185729.24,3,Rational,Cash,208.0
190,1,2023-07-22,Personal needs,Consumer loan payment,523731.2,3,Routine,Cash,204.0
191,1,2025-03-29,Personal needs,Consumer loan payment,4173666.97,5,Planned,Transfer,204.0
192,1,2024-01-15,Deposit,Account top-up,1595513.92,4,Rational,Cash,206.0
193,1,2024-03-26,Healthcare,Insurance payment,4073559.46,4,Routine,Card,208.0
194,1,2023-12-16,Card,Card replenishment,3802923.42,5,Planned,Card,207.0
195,1,2023-12-10,Education,Student loan payment,2200869.93,3,Routine,Card,205.0
196,1,2023-07-30,Business,Business credit payment,4819084.43,3,Rational,Cash,203.0
197,1,2023-02-20,Deposit,Account top-up,1291870.03,4,Rational,Transfer,206.0
198,1,2025-07-15,Auto,Auto loan installment,1093010.87,5,Rational,Transfer,202.0
199,1,2025-03-08,Charity,Zakat payment,181342.83,5,Routine,Transfer,
200,1,2024-11-27,Card,Card replenishment,4689783.62,4,Routine,Card,207.0
201,1,2024-11-10,Deposit,Account top-up,4124845.28,3,Routine,Card,206.0
202,1,2025-07-07,Personal needs,Consumer loan payment,308821.36,3,Rational,Cash,204.0
203,1,2023-05-14,Auto,Auto loan installment,1313789.71,4,Planned,Cash,202.0
204,1,2024-05-25,Deposit,Account top-up,4663508.8,3,Routine,Cash,206.0
205,1,2024-12-08,Business,Business credit payment,1638736.53,4,Planned,Transfer,203.0
206,1,2024-06-21,Healthcare,Insurance payment,846801.18,4,Planned,Cash,208.0
207,1,2024-11-02,Card,Card replenishment,923606.93,5,Rational,Cash,207.0
208,1,2023-01-17,Card,Card replenishment,1950978.99,3,Rational,Transfer,207.0
209,1,2024-12-24,Property,Mortgage payment,1876511.92,5,Routine,Card,201.0
210,1,2023-08-18,Auto,Auto loan installment,4213672.98,3,Routine,Transfer,202.0
211,1,2024-04-18,Deposit,Account top-up,1540541.43,5,Routine,Cash,206.0
212,1,2025-04-02,Business,Business credit payment,2289609.08,4,Rational,Transfer,203.0
213,1,2024-03-10,Property,Mortgage payment,1536645.65,5,Planned,Cash,201.0
214,1,2023-10-06,Healthcare,Insurance payment,4920662.7,5,Rational,Transfer,208.0
215,1,2023-09-12,Education,Student loan payment,840127.24,3,Routine,Cash,205.0
216,1,2024-12-06,Card,Card replenishment,861856.2,4,Routine,Transfer,207.0
217,1,2025-08-02,Education,Student loan payment,3938176.26,5,Routine,Transfer,205.0
218,1,2025-10-05,Card,Card replenishment,1450416.43,4,Routine,Card,207.0
219,1,2024-05-17,Charity,Zakat payment,8161.49,5,Planned,Cash,
220,1,2025-07-10,Education,Student loan payment,4055915.65,3,Planned,Transfer,205.0
221,1,2024-07-27,Card,Card replenishment,2730408.88,5,Rational,Card,207.0
222,1,2024-12-27,Auto,Auto loan installment,2727546.08,4,Rational,Cash,202.0
223,2,2025-02-07,Healthcare,Insurance payment,4643361.87,4,Rational,Transfer,208.0
224,2,2023-06-28,Card,Card replenishment,246508.39,4,Planned,Cash,207.0
225,2,2023-03-26,Card,Card replenishment,3318626.66,4,Planned,Transfer,207.0
226,2,2024-11-06,Business,Business credit payment,109402.74,5,Rational,Transfer,203.0
227,2,2024-06-13,Auto,Auto loan installment,656188.12,3,Rational,Card,202.0
228,2,2025-03-11,Charity,Zakat payment,199627.64,3,Planned,Card,
229,2,2025-08-12,Property,Mortgage payment,1245167.62,3,Routine,Cash,201.0
230,2,2023-09-19,Deposit,Account top-up,1783623.31,5,Rational,Card,206.0
231,2,2024-10-05,Business,Business credit payment,28370.21,4,Routine,Transfer,203.0
232,2,2024-06-09,Property,Mortgage payment,3913310.29,4,Routine,Card,201.0
233,2,2023-08-16,Card,Card replenishment,145343.31,5,Routine,Transfer,207.0
234,2,2024-10-11,Healthcare,Insurance payment,2302497.51,4,Routine,Transfer,208.0
235,2,2025-02-03,Personal needs,Consumer loan payment,1121350.32,3,Planned,Cash,204.0
236,2,2024-01-23,Charity,Zakat payment,158277.15,5,Routine,Card,
237,2,2024-07-15,Healthcare,Insurance payment,795184.62,4,Planned,Transfer,208.0
238,2,2025-05-25,Business,Business credit payment,4017619.13,3,Rational,Transfer,203.0
239,2,2025-01-20,Education,Student loan payment,1317970.29,4,Routine,Transfer,205.0
240,2,2023-06-24,Personal needs,Consumer loan payment,1091945.47,5,Rational,Card,204.0
241,2,2023-10-18,Charity,Zakat payment,30666.47,3,Rational,Transfer,
242,2,2025-09-11,Auto,Auto loan installment,1652620.39,3,Planned,Transfer,202.0
243,2,2024-03-14,Card,Card replenishment,4262610.78,3,Planned,Card,207.0
244,2,2024-03-25,Education,Student loan payment,4804424.69,4,Planned,Card,205.0
245,2,2023-02-01,Personal needs,Consumer loan payment,1107429.4,3,Planned,Transfer,204.0
246,2,2025-09-20,Education,Student loan payment,2951733.07,5,Routine,Cash,205.0
247,2,2023-03-06,Auto,Auto loan installment,3563025.5,4,Planned,Cash,202.0
248,2,2024-07-13,Education,Student loan payment,418800.66,4,Planned,Card,205.0
249,2,2025-08-28,Healthcare,Insurance payment,2305131.19,5,Routine,Cash,208.0
250,2,2023-08-07,Auto,Auto loan installment,577902.96,3,Rational,Cash,202.0
251,2,2023-11-24,Business,Business credit payment,3674500.93,3,Planned,Cash,203.0
252,2,2024-02-16,Personal needs,Consumer loan payment,1916279.47,5,Rational,Cash,204.0
253,2,2023-09-26,Deposit,Account top-up,3161493.92,3,Rational,Cash,206.0
254,2,2023-04-01,Deposit,Account top-up,3061530.45,5,Planned,Card,206.0
255,2,2024-08-24,Auto,Auto loan installment,2483710.35,5,Rational,Cash,202.0
256,2,2024-03-02,Card,Card replenishment,4317899.51,3,Rational,Cash,207.0
257,2,2024-07-15,Personal needs,Consumer loan payment,813368.92,5,Routine,Card,204.0
258,2,2024-09-06,Personal needs,Consumer loan payment,2320741.75,5,Rational,Transfer,204.0
259,2,2024-10-14,Business,Business credit payment,1048299.34,4,Planned,Card,203.0
260,2,2024-07-25,Charity,Zakat payment,23510.48,5,Rational,Cash,
261,2,2024-09-08,Deposit,Account top-up,469751.23,5,Routine,Card,206.0
262,2,2025-03-28,Auto,Auto loan installment,3503204.37,4,Routine,Cash,202.0
263,2,2023-10-23,Business,Business credit payment,2987084.57,5,Rational,Card,203.0
264,2,2023-01-28,Personal needs,Consumer loan payment,3565355.28,4,Planned,Card,204.0
265,2,2025-01-29,Healthcare,Insurance payment,2554768.17,5,Routine,Card,208.0
266,2,2024-11-20,Education,Student loan payment,3689232.41,4,Routine,Transfer,205.0
267,2,2023-04-02,Healthcare,Insurance payment,2179761.64,3,Rational,Card,208.0
268,2,2023-07-27,Auto,Auto loan installment,1024819.12,3,Routine,Cash,202.0
269,2,2023-02-02,Property,Mortgage payment,2425311.97,3,Rational,Cash,201.0
270,2,2025-08-03,Property,Mortgage payment,4336813.91,3,Planned,Transfer,201.0
271,2,2024-06-24,Personal needs,Consumer loan payment,4767183.32,3,Routine,Transfer,204.0
272,2,2023-02-03,Property,Mortgage payment,1525517.59,3,Planned,Cash,201.0
273,2,2023-01-31,Personal needs,Consumer loan payment,4777505.76,5,Routine,Cash,204.0
274,2,2024-12-23,Healthcare,Insurance payment,2665551.26,3,Routine,Cash,208.0
275,2,2023-07-29,Property,Mortgage payment,3292740.7,5,Rational,Transfer,201.0
276,2,2024-09-27,Deposit,Account top-up,4134101.5,5,Routine,Cash,206.0
277,2,2024-04-06,Education,Student loan payment,4974556.55,3,Rational,Transfer,205.0
278,2,2024-03-17,Auto,Auto loan installment,584356.02,3,Planned,Transfer,202.0
279,2,2024-11-28,Property,Mortgage payment,593890.82,4,Rational,Cash,201.0
280,2,2023-03-17,Card,Card replenishment,1087964.77,5,Routine,Card,207.0
281,2,2024-11-21,Deposit,Account top-up,4710650.86,3,Planned,Cash,206.0
282,2,2024-04-28,Healthcare,Insurance payment,2987649.04,4,Routine,Transfer,208.0
283,2,2024-06-06,Education,Student loan payment,2312624.18,5,Rational,Card,205.0
284,2,2024-03-29,Auto,Auto loan installment,1286925.83,3,Planned,Transfer,202.0
285,2,2024-06-25,Personal needs,Consumer loan payment,3656336.92,3,Planned,Cash,204.0
286,2,2024-07-30,Personal needs,Consumer loan payment,4305859.82,5,Rational,Cash,204.0
287,2,2025-06-24,Education,Student loan payment,4988774.78,3,Planned,Card,205.0
288,2,2025-03-18,Charity,Zakat payment,36115.88,5,Planned,Cash,
289,2,2024-08-15,Property,Mortgage payment,3155348.95,4,Routine,Cash,201.0
290,2,2023-01-02,Deposit,Account top-up,1790633.68,3,Planned,Card,206.0
291,3,2023-03-14,Healthcare,Insurance payment,1489205.18,5,Planned,Cash,208.0
292,3,2023-04-24,Education,Student loan payment,785849.62,4,Planned,Cash,205.0
293,3,2024-07-06,Card,Card replenishment,2543658.43,3,Routine,Card,207.0
294,3,2024-03-29,Business,Business credit payment,844757.72,3,Planned,Card,203.0
295,3,2023-07-11,Auto,Auto loan installment,139412.02,5,Rational,Transfer,202.0
296,3,2025-03-02,Charity,Zakat payment,24574.44,5,Planned,Transfer,
297,3,2024-12-29,Personal needs,Consumer loan payment,409776.98,5,Routine,Transfer,204.0
298,3,2024-07-19,Personal needs,Consumer loan payment,196625.55,3,Rational,Transfer,204.0
299,3,2025-02-14,Healthcare,Insurance payment,4077420.63,3,Planned,Cash,208.0
300,3,2024-11-13,Business,Business credit payment,1253057.28,3,Planned,Card,203.0
301,3,2025-09-14,Personal needs,Consumer loan payment,2253891.17,4,Routine,Card,204.0
302,3,2023-04-17,Card,Card replenishment,3899942.81,3,Routine,Cash,207.0
303,3,2025-02-22,Business,Business credit payment,2207864.3,3,Routine,Transfer,203.0
304,3,2024-07-16,Deposit,Account top-up,2876986.05,4,Planned,Cash,206.0
305,3,2024-02-20,Auto,Auto loan installment,511773.98,3,Rational,Card,202.0
306,3,2025-01-16,Personal needs,Consumer loan payment,213212.1,3,Rational,Cash,204.0
307,3,2024-03-27,Deposit,Account top-up,3333454.66,3,Routine,Card,206.0
308,3,2025-06-11,Auto,Auto loan installment,4957442.36,3,Routine,Transfer,202.0
309,3,2024-04-19,Education,Student loan payment,3330969.2,5,Rational,Transfer,205.0
310,3,2024-08-28,Property,Mortgage payment,2690972.42,5,Routine,Transfer,201.0
311,3,2025-07-25,Business,Business credit payment,4830165.75,5,Routine,Card,203.0
312,3,2025-03-03,Deposit,Account top-up,1490225.6,4,Planned,Cash,206.0
313,3,2025-01-26,Personal needs,Consumer loan payment,2782985.7,4,Planned,Card,204.0
314,3,2023-07-14,Healthcare,Insurance payment,2845575.1,4,Planned,Cash,208.0
315,3,2025-09-30,Auto,Auto loan installment,436071.08,3,Rational,Cash,202.0
316,3,2024-03-30,Card,Card replenishment,1196591.05,5,Routine,Card,207.0
317,3,2024-08-06,Card,Card replenishment,1203816.6,4,Routine,Cash,207.0
318,3,2023-06-10,Card,Card replenishment,528574.13,4,Planned,Card,207.0
319,3,2023-07-22,Property,Mortgage payment,4620071.92,3,Routine,Transfer,201.0
320,3,2025-03-02,Business,Business credit payment,2251789.46,4,Routine,Card,203.0
321,3,2024-06-17,Business,Business credit payment,4393676.52,4,Planned,Card,203.0
322,3,2023-09-24,Education,Student loan payment,388684.55,5,Rational,Transfer,205.0
323,3,2024-06-04,Business,Business credit payment,4849584.01,3,Planned,Card,203.0
324,3,2024-07-28,Deposit,Account top-up,3560069.77,4,Rational,Transfer,206.0
325,3,2025-01-22,Auto,Auto loan installment,4727333.03,4,Rational,Transfer,202.0
326,3,2023-12-24,Card,Card replenishment,1095675.22,5,Routine,Transfer,207.0
327,3,2023-09-30,Card,Card replenishment,4987317.75,4,Planned,Card,207.0
328,3,2024-05-31,Education,Student loan payment,2770526.36,3,Rational,Card,205.0
329,3,2023-02-14,Education,Student loan payment,3118729.17,4,Routine,Transfer,205.0
330,3,2025-03-25,Personal needs,Consumer loan payment,1904777.7,5,Routine,Cash,204.0
331,3,2024-07-25,Charity,Zakat payment,182041.44,5,Rational,Transfer,
